species,type,note,link
Lactobacillus johnsonii JCM8794,beneficial,,https://www.researchgate.net/publication/336919736_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Lactobacillus plantarum JCM1158,beneficial,,https://www.researchgate.net/publication/336919737_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Lactobacillus reuteri JCM1149,beneficial,,https://www.researchgate.net/publication/336919738_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Lactococcus lactis JCM1112,beneficial,,https://www.researchgate.net/publication/336919739_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Leuconostoc mesenteroides subsp. mesenteroides,beneficial,,https://www.researchgate.net/publication/336919740_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bifidobacteria Bifidobacterium adolescentis JCM1275,beneficial,,https://www.researchgate.net/publication/336919743_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bifidobacterium animalis subsp. lactis,beneficial,,https://www.researchgate.net/publication/336919744_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bifidobacterium bifidum JCM1254,beneficial,,https://www.researchgate.net/publication/336919747_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bifidobacterium breve JCM1192,beneficial,,https://www.researchgate.net/publication/336919748_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bifidobacterium catenulatum JCM1194,beneficial,,https://www.researchgate.net/publication/336919749_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bifidobacterium infantis ATCC15697,beneficial,,https://www.researchgate.net/publication/336919750_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bifidobacterium longum JCM1217,beneficial,,https://www.researchgate.net/publication/336919751_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bifidobacterium pseudocatenulatum,beneficial,,https://www.researchgate.net/publication/336919752_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bifidobacterium pseudolongum,beneficial,,https://www.researchgate.net/publication/336919755_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides caccae JCM9498,beneficial,,https://www.researchgate.net/publication/336919755_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides dorei JCM13471,beneficial,,https://www.researchgate.net/publication/336919756_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides finegoldii JCM13345,beneficial,,https://www.researchgate.net/publication/336919757_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides fragilis JCM11019,beneficial,,https://www.researchgate.net/publication/336919758_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides intestinalis JCM13265,beneficial,,https://www.researchgate.net/publication/336919759_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides ovatus JCM5824,beneficial,,https://www.researchgate.net/publication/336919760_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides stercoris JCM9496,beneficial,,https://www.researchgate.net/publication/336919761_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides thetaiotaomicron JCM5827,beneficial,,https://www.researchgate.net/publication/336919762_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides uniformis JCM5828,beneficial,,https://www.researchgate.net/publication/336919763_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides vulgatus JCM5826,beneficial,,https://www.researchgate.net/publication/336919764_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides xylanisolvens JCM15633,beneficial,,https://www.researchgate.net/publication/336919765_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Blautia hansenii JCM14655,beneficial,,https://www.researchgate.net/publication/336919766_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Clostridium asparagiforme DSM15981,beneficial,,https://www.researchgate.net/publication/336919767_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Clostridium nexile ATCC27757,beneficial,,https://www.researchgate.net/publication/336919768_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Collinsella aerofaciens JCM7790,beneficial,,https://www.researchgate.net/publication/336919769_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Coprococcus comes ATCC27758,beneficial,,https://www.researchgate.net/publication/336919770_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Dorea formicigenerans ATCC27755,beneficial,,https://www.researchgate.net/publication/336919771_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Dorea longicatena DSM13814,beneficial,,https://www.researchgate.net/publication/336919772_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Eubacterium cylindroides JCM10261,beneficial,,https://www.researchgate.net/publication/336919773_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Eubacterium siraeum ATCC29066,beneficial,,https://www.researchgate.net/publication/336919774_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Parabacteroides distasonis JCM5825,beneficial,,https://www.researchgate.net/publication/336919775_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Parabacteroides johnsonii JCM13406,beneficial,,https://www.researchgate.net/publication/336919776_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Parabacteroides merdae JCM9497,beneficial,,https://www.researchgate.net/publication/336919777_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Roseburia intestinalis DSM14610,beneficial,,https://www.researchgate.net/publication/336919778_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Ruminococcus gnavus ATCC29149,beneficial,,https://www.researchgate.net/publication/336919779_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Ruminococcus lactaris ATCC29176,beneficial,,https://www.researchgate.net/publication/336919780_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Ruminococcus productus JCM1471,beneficial,,https://www.researchgate.net/publication/336919781_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Ruminococcus torques ATCC27756,beneficial,,https://www.researchgate.net/publication/336919782_Measuring_the_Antimicrobial_Activity_of_Lauric_Acid_against_Various_Bacteria_in_Human_Gut_Microbiota_Using_a_New_Method
Bacteroides xylanisolvens,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02029/full
Lactobacillus mucosae,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02030/full
Lactobacillus runminis,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02031/full
Bacteroides intestinalis,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02032/full
Lactobacillus salivarius,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02033/full
Lactobacillus gasseri*,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02034/full
Eubacterium coprostanoligenes,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02035/full
Tetragenococcus halophilus,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02036/full
Lactobacillus acidophilus,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02037/full
Lactococcus lactis,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02038/full
Bifidobacterium longum,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02039/full
Bifidobacterium pseudocatenulatum,beneficial,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02040/full
Bacteroides vulgatus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02041/full
Faecalibacterium prausnitzii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02042/full
Parabacteroides merdae,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02043/full
Eubacterium rectale,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02044/full
Escherichia coli*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02045/full
Roseburia faecis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02046/full
Phascolarctobacterium faecium,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02047/full
Bacteroides ovatus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02048/full
Alistipes shahii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02049/full
Roseburia intestinalis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02050/full
Parasutterella excrementihominis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02051/full
Eubacterium eligens,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02052/full
Ruminococcus bromii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02053/full
Lactobacillus rogosae*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02054/full
Prevotella copri,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02055/full
Anaerostipes hadrus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02056/full
Bacteroides massilliensis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02057/full
Bacteroides dorei,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02058/full
Ruminococcus faecis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02059/full
Sphingomonas echinoides,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02060/full
Bacteroides stercoris,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02061/full
Dorea formicigenerans,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02062/full
Ochrobactrum cytisi*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02063/full
Fusicatenibacter saccharivorans,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02064/full
Sutterella wadswothensis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02065/full
Sphingomonas melonis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02066/full
Bacteroides thetaiotaomicron,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02067/full
Bacteroides coprophilus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02068/full
Blautia obeum,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02069/full
Eubacterium hallii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02070/full
Roseburia inulinivorans,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02071/full
Holdemanella biformis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02072/full
Bacteroides cellulosilyticus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02073/full
Eubacterium siraeum,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02074/full
Coprobacter fastidiosus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02075/full
Intestinibacter bartlettii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02076/full
Subdoligranulum variabile,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02077/full
Ruminococcus callidus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02078/full
Tsukamurella spongiae,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02079/full
Blautia wexlerae,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02080/full
Phascolarctobacterium succinatutens,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02081/full
Ruminococcus lactaris,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02082/full
Bacteroides clarus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02083/full
Blautia stercoris,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02084/full
Eubacterium hadrum*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02085/full
Butyrivibrio crossotus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02086/full
Coprobacter secundus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02087/full
Alistipes indistinctus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02088/full
Romboutsia ilealis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02089/full
Holdemania filiformis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02090/full
Catenibacterium mitsuokai,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02091/full
Serratia quinivorans*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02092/full
Parabacteroides johnsonii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02093/full
Enterobacter muelleri,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02094/full
Anaerotruncus colihominis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02095/full
Jeotgalicoccus halotolerans*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02096/full
Butyricimonas faecihominis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02097/full
Pseudomonas gessardii*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02098/full
Parasutterella secunda,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02099/full
Bacteroides finegoldii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02100/full
Barnesiella intestinihominis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02101/full
Blautia luti,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02102/full
Citrobacter werkmanii *,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02103/full
Citrobacter gillenii*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02104/full
Oxalobacter formigenes,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02105/full
Clostridium lactatifermentans,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02106/full
Streptococcus gordonii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02107/full
Asaccharobacter celatus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02108/full
Howardella ureilytica,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02109/full
Methylobacterium phyllosphaerae,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02110/full
Blautia hansenii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02111/full
Coprobacillus cateniformis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02112/full
Planomicrobium chinense,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02113/full
Parabacteroides faecis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02114/full
Alistipes inops,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02115/full
Clostridium glycyrrhizinilyticum*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02116/full
Weissella confusa*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02117/full
Pelomonas aquatica,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02118/full
Acidaminococcus fermentans,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02119/full
Aggregatibacter segnis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02120/full
Romboutsia lituseburensis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02121/full
Sellimonas intestinalis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02122/full
Pyramidobacter  piscolens,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02123/full
Senegalimassillia anaerobia,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02124/full
Clostridium butyricum,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02125/full
Brachybacterium paraconglomeratum*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02126/full
Sutterella parvirubra,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02127/full
Hungatella effluvii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02128/full
Kocuria carniohila*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02129/full
Microbacterium esteraomaticum*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02130/full
Aflipia broomeae,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02131/full
Pseudochrobactrums saccharolyticum *,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02132/full
Eubacterium oxidoreducens,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02133/full
Bacteroides barnesiae,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02134/full
Butyricimonas paravirosa,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02135/full
Succinatimonas hippei,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02136/full
Enterobacter xiangfangensis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02137/full
Enhydrobacter aerosaccus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02138/full
Mesorhizobium jarvisii*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02139/full
Taonella mepensis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02140/full
Eubacterium sulci,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02141/full
Clostridium citroniae,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02142/full
Clostridium scindens,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02143/full
Sphingomonas hankookensis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02144/full
Bacteroides plebeius,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02145/full
Eubacterium desmolans,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02146/full
Micrococcus endophyticus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02147/full
Eubacterium contortum,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02148/full
Dietzia cercidiphylli*,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02149/full
Desulfovibrio legallii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02150/full
Lactobacillus sanfranciscensis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02151/full
Kluyvera georgiana,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02152/full
Pelomonas puraquae,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02153/full
Olsenella scatoligenes,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02154/full
Eubacterium dolichum,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02155/full
Bacteroides coagulans,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02156/full
Flavobacterium mizutaii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02157/full
Lactobacillus crispatus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02158/full
Treponema succinifaciens,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02159/full
Lactonifactor longoviformis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02160/full
Brevundimonas aurantiaca,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02161/full
Microbacterium sediminicola,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02162/full
Phyllobacterium myrsinacearum,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02163/full
Bacteroides sartorii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02164/full
Clostridium chartatabidum,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02165/full
Kocuria palustris,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02166/full
Anaerococcus murdochii,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02167/full
Sphingobacterium nematocida,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02168/full
Glutamicibacter protophormiae,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02169/full
Prevotella buccalis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02170/full
Psychrobacter alimentarius,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02171/full
Herbaspirillum huttiense,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02172/full
Bradyrhizobium icense,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02173/full
Collinsella intestinalis,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02174/full
Desemzia incerta,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02175/full
Cloacibacillus porcorum,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02176/full
Comamonas denitrificans,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02177/full
Brachybacterium ginsengisoli,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02178/full
Bacteroides pectinophilus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02179/full
Vampirovibrio chlorellavorus,commensal,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.02180/full
